"SpacebasedParkingUtilizationHistoric.timestamp.hour","SpacebasedParkingUtilizationHistoric.avgUtilization"
"2024‑09‑20 16:00:00 (UTC)","10.027855"
"2024‑09‑20 17:00:00 (UTC)","9.766666"
"2024‑09‑20 18:00:00 (UTC)","4.339832"
"2024‑09‑20 19:00:00 (UTC)","4.311977"
"2024‑09‑20 20:00:00 (UTC)","5.696378"
"2024‑09‑20 21:00:00 (UTC)","6.113888"
"2024‑09‑20 22:00:00 (UTC)","6.874651"
"2024‑09‑20 23:00:00 (UTC)","2.62674"
"2024‑09‑21 00:00:00 (UTC)","0.07011"
"2024‑09‑21 01:00:00 (UTC)","0.16923"
"2024‑09‑21 02:00:00 (UTC)","0.561111"
"2024‑09‑21 03:00:00 (UTC)","0.67688"
"2024‑09‑21 04:00:00 (UTC)","1.27298"
"2024‑09‑21 05:00:00 (UTC)","2.660167"
"2024‑09‑21 06:00:00 (UTC)","3.166666"
"2024‑09‑21 07:00:00 (UTC)","3.65181"
"2024‑09‑21 08:00:00 (UTC)","4.047353"
"2024‑09‑21 09:00:00 (UTC)","4.866666"
"2024‑09‑21 10:00:00 (UTC)","4.807799"
"2024‑09‑21 11:00:00 (UTC)","5.763231"
"2024‑09‑21 12:00:00 (UTC)","4.45"
"2024‑09‑21 13:00:00 (UTC)","3.693593"
"2024‑09‑21 14:00:00 (UTC)","3.470752"
"2024‑09‑21 15:00:00 (UTC)","4.495821"
"2024‑09‑21 16:00:00 (UTC)","9.008333"
"2024‑09‑21 17:00:00 (UTC)","10.646239"
"2024‑09‑21 18:00:00 (UTC)","7.927576"
"2024‑09‑21 19:00:00 (UTC)","7.860724"
"2024‑09‑21 20:00:00 (UTC)","8.505555"
"2024‑09‑21 21:00:00 (UTC)","7.225626"
"2024‑09‑21 22:00:00 (UTC)","8.100278"
"2024‑09‑21 23:00:00 (UTC)","7.618384"
"2024‑09‑22 00:00:00 (UTC)","6.245125"
"2024‑09‑22 01:00:00 (UTC)","5.369444"
"2024‑09‑22 02:00:00 (UTC)","4.922005"
"2024‑09‑22 03:00:00 (UTC)","4.62674"
"2024‑09‑22 04:00:00 (UTC)","1.952646"
"2024‑09‑22 05:00:00 (UTC)","1.411111"
"2024‑09‑22 06:00:00 (UTC)","2.278551"
"2024‑09‑22 07:00:00 (UTC)","4.27298"
"2024‑09‑22 08:00:00 (UTC)","8.258333"
"2024‑09‑22 09:00:00 (UTC)","9.952646"
"2024‑09‑22 10:00:00 (UTC)","10.947075"
"2024‑09‑22 11:00:00 (UTC)","10.311111"
"2024‑09‑22 12:00:00 (UTC)","10.690807"
"2024‑09‑22 13:00:00 (UTC)","10.050139"
"2024‑09‑22 14:00:00 (UTC)","10.388888"
"2024‑09‑22 15:00:00 (UTC)","10.983286"
