"SpacebasedParkingUtilizationHistoric.timestamp.hour","SpacebasedParkingUtilizationHistoric.avgUtilization"
"2024‑09‑20 16:00:00 (UTC)","4.061281"
"2024‑09‑20 17:00:00 (UTC)","5.038997"
"2024‑09‑20 18:00:00 (UTC)","5.097222"
"2024‑09‑20 19:00:00 (UTC)","5.122562"
"2024‑09‑20 20:00:00 (UTC)","5.270194"
"2024‑09‑20 21:00:00 (UTC)","5.238888"
"2024‑09‑20 22:00:00 (UTC)","4.643454"
"2024‑09‑20 23:00:00 (UTC)","4.381615"
"2024‑09‑21 00:00:00 (UTC)","4.506993"
"2024‑09‑21 01:00:00 (UTC)","0"
"2024‑09‑21 02:00:00 (UTC)","5.629629"
"2024‑09‑21 03:00:00 (UTC)","6.019498"
"2024‑09‑21 04:00:00 (UTC)","5.122562"
"2024‑09‑21 05:00:00 (UTC)","4.802777"
"2024‑09‑21 06:00:00 (UTC)","3.877437"
"2024‑09‑21 07:00:00 (UTC)","3.383333"
"2024‑09‑21 08:00:00 (UTC)","3.077994"
"2024‑09‑21 09:00:00 (UTC)","3.793871"
"2024‑09‑21 10:00:00 (UTC)","4.488888"
"2024‑09‑21 11:00:00 (UTC)","4.108635"
"2024‑09‑21 12:00:00 (UTC)","4"
"2024‑09‑21 13:00:00 (UTC)","3.927576"
"2024‑09‑21 14:00:00 (UTC)","2.997222"
"2024‑09‑21 15:00:00 (UTC)","3.977715"
"2024‑09‑21 16:00:00 (UTC)","4.89415"
"2024‑09‑21 17:00:00 (UTC)","4.947222"
"2024‑09‑21 18:00:00 (UTC)","4.94986"
"2024‑09‑21 19:00:00 (UTC)","5.097493"
"2024‑09‑21 20:00:00 (UTC)","5.228412"
"2024‑09‑21 21:00:00 (UTC)","5.138888"
"2024‑09‑21 22:00:00 (UTC)","5.011142"
"2024‑09‑21 23:00:00 (UTC)","5.259052"
"2024‑09‑22 00:00:00 (UTC)","5.32869"
"2024‑09‑22 01:00:00 (UTC)","5.180555"
"2024‑09‑22 02:00:00 (UTC)","5.002785"
"2024‑09‑22 03:00:00 (UTC)","5.534818"
"2024‑09‑22 04:00:00 (UTC)","4.997214"
"2024‑09‑22 05:00:00 (UTC)","4.616666"
"2024‑09‑22 06:00:00 (UTC)","4.275766"
"2024‑09‑22 07:00:00 (UTC)","4.458333"
"2024‑09‑22 08:00:00 (UTC)","4.484679"
"2024‑09‑22 09:00:00 (UTC)","4.066852"
"2024‑09‑22 10:00:00 (UTC)","3.802777"
"2024‑09‑22 11:00:00 (UTC)","4.779944"
"2024‑09‑22 12:00:00 (UTC)","4.710306"
"2024‑09‑22 13:00:00 (UTC)","4.661111"
"2024‑09‑22 14:00:00 (UTC)","4.668523"
"2024‑09‑22 15:00:00 (UTC)","4.830083"
"2024‑09‑22 16:00:00 (UTC)","4.822222"
"2024‑09‑22 17:00:00 (UTC)","4.857938"
"2024‑09‑22 18:00:00 (UTC)","5.119777"
"2024‑09‑22 19:00:00 (UTC)","6.451253"
"2024‑09‑22 20:00:00 (UTC)","6.719444"
"2024‑09‑22 21:00:00 (UTC)","4.779944"
"2024‑09‑22 22:00:00 (UTC)","4.041782"
"2024‑09‑22 23:00:00 (UTC)","6.364902"
"2024‑09‑23 00:00:00 (UTC)","6.4"
"2024‑09‑23 01:00:00 (UTC)","6.125348"
"2024‑09‑23 02:00:00 (UTC)","6.125348"
"2024‑09‑23 03:00:00 (UTC)","6.303621"
"2024‑09‑23 04:00:00 (UTC)","6.241666"
"2024‑09‑23 05:00:00 (UTC)","4.501392"
"2024‑09‑23 06:00:00 (UTC)","3.766016"
"2024‑09‑23 07:00:00 (UTC)","3.961002"
"2024‑09‑23 08:00:00 (UTC)","4.080555"
"2024‑09‑23 09:00:00 (UTC)","4.439655"
"2024‑09‑23 10:00:00 (UTC)","1.092592"
"2024‑09‑23 11:00:00 (UTC)","1.041782"
"2024‑09‑23 12:00:00 (UTC)","0.894886"
