Vehicle_Category,Peak Hour,Average Traffic
LV <3.5t,17,637.2777777777778
Pkw,17,507.5625
Lieferwagen,11,56.916666666666664
SV >3.5t,13,18.09722222222222
Lkw,10,10.15625
Kraftrad,15,7.21875
Bus,14,3.8333333333333335
Sattel-Kfz,7,2.453125
Pkw mit Anhänger,11,1.25
Lkw mit Anhänger,8,0.22916666666666666
