"SpacebasedParkingUtilizationHistoric.timestamp.hour","SpacebasedParkingUtilizationHistoric.avgUtilization"
"2024‑09‑28 16:00:00 (UTC)","1.97493"
"2024‑09‑28 17:00:00 (UTC)","2.016713"
"2024‑09‑28 18:00:00 (UTC)","2.3"
"2024‑09‑28 19:00:00 (UTC)","3.573816"
"2024‑09‑28 20:00:00 (UTC)","3.231197"
"2024‑09‑28 21:00:00 (UTC)","3.158774"
"2024‑09‑28 22:00:00 (UTC)","3.122222"
"2024‑09‑28 23:00:00 (UTC)","3.214484"
"2024‑09‑29 00:00:00 (UTC)","3.476323"
"2024‑09‑29 01:00:00 (UTC)","3.938718"
"2024‑09‑29 02:00:00 (UTC)","3.886111"
"2024‑09‑29 03:00:00 (UTC)","3.791086"
"2024‑09‑29 04:00:00 (UTC)","3.782729"
"2024‑09‑29 05:00:00 (UTC)","4.05571"
"2024‑09‑29 06:00:00 (UTC)","3.991666"
"2024‑09‑29 07:00:00 (UTC)","3.966573"
"2024‑09‑29 08:00:00 (UTC)","3.016713"
"2024‑09‑29 09:00:00 (UTC)","3.025069"
"2024‑09‑29 10:00:00 (UTC)","3.008333"
"2024‑09‑29 11:00:00 (UTC)","2.908077"
"2024‑09‑29 12:00:00 (UTC)","2.036211"
"2024‑09‑29 13:00:00 (UTC)","1.497222"
"2024‑09‑29 14:00:00 (UTC)","1.362116"
"2024‑09‑29 15:00:00 (UTC)","1.286908"
"2024‑09‑29 16:00:00 (UTC)","1.191666"
"2024‑09‑29 17:00:00 (UTC)","2.334261"
"2024‑09‑29 18:00:00 (UTC)","2.674094"
"2024‑09‑29 19:00:00 (UTC)","2.565459"
"2024‑09‑29 20:00:00 (UTC)","2.333333"
"2024‑09‑29 21:00:00 (UTC)","2.233983"
"2024‑09‑29 22:00:00 (UTC)","2.236768"
"2024‑09‑29 23:00:00 (UTC)","2.172701"
